id_transakcji,Data,Rodzaj transakcji,koszt,id_wizyty jeśli wizyta
1481,2020-04-23,operacja pod narkozą,450,1603
1482,2020-04-23,zabieg okulistyczny,200,1604
1483,2020-04-23,operacja pod narkozą,450,1605
1484,2020-04-24,zabieg higieniczy duży,80,1606
1485,2020-04-24,kontrolna,40,1607
1486,2020-04-24,zabieg ortopedyczny,200,1608
1487,2020-04-24,badanie krwi,60,1609
1488,2020-04-25,Kompleksowy zestaw badań,250,1610
1489,2020-04-26,EKG,80,1611
1490,2020-04-27,chipowanie,60,1612
1491,2020-04-27,zabieg okulistyczny,200,1615
1492,2020-04-28,eutanazja,200,1617
1493,2020-04-28,zabieg higieniczy duży,80,1618
1494,2020-04-28,eutanazja,200,1619
1495,2020-04-28,zabieg higieniczy duży,80,1620
1496,2020-04-28,kroplówka witaminowa,50,1621
1497,2020-04-28,EKG,80,1622
1498,2020-04-28,Kompleksowy zestaw badań,250,1623
1499,2020-04-28,zabieg chirurgiczny drobny,100,1624
1500,2020-04-28,zabieg okulistyczny,200,1625
1501,2020-04-28,zabieg okulistyczny,200,1626
1502,2020-04-28,konsultacja chirurgiczna,40,1627
1503,2020-04-29,EKG,80,1629
1504,2020-04-29,Kompleksowy zestaw badań,250,1630
1505,2020-04-29,kroplówka witaminowa,50,1631
1506,2020-04-29,antykoncepcja,150,1632
1507,2020-04-29,operacja w znieczuleniu częściowym,400,1633
1508,2020-04-29,operacja w znieczuleniu częściowym,400,1636
1509,2020-04-30,zabieg higieniczy duży,80,1637
1510,2020-04-30,eutanazja,200,1638
1511,2020-04-30,testy alergiczne,150,1639
1512,2020-04-30,kontrolna,40,1640
1513,2020-04-30,chipowanie,60,1641
1514,2020-04-30,wydanie paszportu,100,1642
1515,2020-04-30,kontrolna,40,1643
1516,2020-04-30,Kompleksowy zestaw badań,250,1644
1517,2020-04-30,konsultacja chirurgiczna,40,1645
1518,2020-04-30,konsultacja chirurgiczna,40,1646
1519,2020-04-30,konsultacja chirurgiczna,40,1647
1520,2020-05-01,chipowanie,60,1649
1521,2020-05-01,zabieg ortopedyczny,200,1650
1522,2020-05-01,czynsz,-4500,
1523,2020-05-01,firma sprzątająca,-2800,
1524,2020-05-01,opłaty,-900,
1525,2020-05-01,biuro rachunkowe,-500,
1526,2020-05-01,opłaty bankowe,-140,
1527,2020-05-01,pensje dla pracowników,-20460,
1528,2020-05-02,szczepienie,30,1651
1529,2020-05-03,chipowanie,60,1653
1530,2020-05-03,wydanie paszportu,100,1654
1531,2020-05-03,RTG,80,1655
1532,2020-05-03,badanie krwi,60,1656
1533,2020-05-04,EKG,80,1657
1534,2020-05-04,zabieg higieniczny drobny,50,1658
1535,2020-05-04,zabieg chirurgiczny drobny,100,1659
1536,2020-05-04,zabieg chirurgiczny drobny,100,1660
1537,2020-05-04,zabieg chirurgiczny drobny,100,1661
1538,2020-05-04,konsultacja chirurgiczna,40,1662
1539,2020-05-04,konsultacja chirurgiczna,40,1663
1540,2020-05-04,konsultacja chirurgiczna,40,1664
1541,2020-05-05,testy alergiczne,150,1665
1542,2020-05-05,szczepienie,30,1666
1543,2020-05-05,kroplówka witaminowa,50,1668
1544,2020-05-05,antykoncepcja,150,1669
1545,2020-05-05,kontrolna,40,1670
1546,2020-05-05,szczepienie,30,1671
1547,2020-05-06,USG,100,1673
1548,2020-05-06,RTG,80,1674
1549,2020-05-06,badanie krwi,60,1675
1550,2020-05-06,testy alergiczne,150,1676
1551,2020-05-06,USG,100,1677
1552,2020-05-06,zabieg higieniczny drobny,50,1678
1553,2020-05-06,zabieg higieniczy duży,80,1679
1554,2020-05-06,eutanazja,200,1680
1555,2020-05-06,wydanie paszportu,100,1681
1556,2020-05-06,kroplówka witaminowa,50,1683
1557,2020-05-06,zabieg chirurgiczny drobny,100,1684
1558,2020-05-06,zabieg okulistyczny,200,1685
1559,2020-05-06,zabieg chirurgiczny drobny,100,1686
1560,2020-05-06,zabieg chirurgiczny drobny,100,1687
1561,2020-05-06,zabieg chirurgiczny drobny,100,1688
1562,2020-05-07,chipowanie,60,1689
1563,2020-05-07,wydanie paszportu,100,1691
1564,2020-05-07,badanie krwi,60,1693
1565,2020-05-07,Kompleksowy zestaw badań,250,1694
1566,2020-05-07,antykoncepcja,150,1695
1567,2020-05-07,badanie krwi,60,1696
1568,2020-05-07,RTG,80,1697
1569,2020-05-07,testy alergiczne,150,1698
1570,2020-05-07,zabieg higieniczny drobny,50,1700
1571,2020-05-07,zabieg higieniczny drobny,50,1701
1572,2020-05-07,zabieg chirurgiczny drobny,100,1703
1573,2020-05-07,konsultacja chirurgiczna,40,1704
1574,2020-05-07,konsultacja chirurgiczna,40,1705
1575,2020-05-07,zabieg chrurgii zewnętrznej,300,1706
1576,2020-05-08,zabieg ortopedyczny,200,1708
1577,2020-05-08,zabieg ortopedyczny,200,1709
1578,2020-05-08,testy alergiczne,150,1710
1579,2020-05-08,antykoncepcja,150,1711
1580,2020-05-09,testy alergiczne,150,1712
1581,2020-05-10,antykoncepcja,150,1713
1582,2020-05-10,zabieg higieniczy duży,80,1714
1583,2020-05-10,eutanazja,200,1715
1584,2020-05-10,zabieg higieniczy duży,80,1716
1585,2020-05-11,zabieg higieniczy duży,80,1717
1586,2020-05-11,antykoncepcja,150,1718
1587,2020-05-11,kroplówka witaminowa,50,1719
1588,2020-05-11,badanie krwi,60,1720
1589,2020-05-11,zabieg higieniczny drobny,50,1721
1590,2020-05-11,zabieg ortopedyczny,200,1722
1591,2020-05-11,konsultacja chirurgiczna,40,1723
1592,2020-05-11,konsultacja chirurgiczna,40,1724
1593,2020-05-11,zabieg chrurgii zewnętrznej,300,1725
1594,2020-05-11,konsultacja chirurgiczna,40,1726
1595,2020-05-11,zabieg chrurgii zewnętrznej,300,1727
1596,2020-05-11,zabieg chirurgiczny drobny,100,1728
1597,2020-05-11,zabieg chirurgiczny drobny,100,1729
1598,2020-05-11,konsultacja chirurgiczna,40,1730
1599,2020-05-11,zabieg chirurgiczny drobny,100,1731
1600,2020-05-11,zabieg chrurgii zewnętrznej,300,1732
1601,2020-05-11,zabieg okulistyczny,200,1734
1602,2020-05-12,EKG,80,1735
1603,2020-05-12,USG,100,1737
1604,2020-05-12,kroplówka witaminowa,50,1738
1605,2020-05-12,kroplówka witaminowa,50,1740
1606,2020-05-12,kontrolna,40,1741
1607,2020-05-12,wydanie paszportu,100,1742
1608,2020-05-12,zabieg higieniczny drobny,50,1743
1609,2020-05-12,USG,100,1745
1610,2020-05-12,zabieg ortopedyczny,200,1746
1611,2020-05-12,testy alergiczne,150,1748
1612,2020-05-12,wydanie paszportu,100,1750
1613,2020-05-12,RTG,80,1751
1614,2020-05-12,eutanazja,200,1752
1615,2020-05-12,zabieg chirurgiczny drobny,100,1753
1616,2020-05-12,zabieg chrurgii zewnętrznej,300,1754
1617,2020-05-12,zabieg chirurgiczny drobny,100,1755
1618,2020-05-12,operacja w znieczuleniu częściowym,400,1756
1619,2020-05-12,zabieg okulistyczny,200,1757
1620,2020-05-12,zabieg chirurgiczny drobny,100,1758
1621,2020-05-12,zabieg chirurgiczny drobny,100,1759
1622,2020-05-13,USG,100,1760
1623,2020-05-13,antykoncepcja,150,1761
1624,2020-05-13,wydanie paszportu,100,1763
1625,2020-05-13,zabieg higieniczy duży,80,1764
1626,2020-05-13,szczepienie,30,1765
1627,2020-05-13,Kompleksowy zestaw badań,250,1766
1628,2020-05-13,wydanie paszportu,100,1767
1629,2020-05-13,kontrolna,40,1769
1630,2020-05-13,RTG,80,1770
1631,2020-05-13,kroplówka witaminowa,50,1772
1632,2020-05-13,chipowanie,60,1773
1633,2020-05-13,USG,100,1774
1634,2020-05-13,zabieg ortopedyczny,200,1776
1635,2020-05-13,zabieg higieniczny drobny,50,1777
1636,2020-05-13,zabieg chirurgii wewnętrznej,300,1778
1637,2020-05-13,konsultacja chirurgiczna,40,1779
1638,2020-05-13,zabieg chirurgiczny drobny,100,1780
1639,2020-05-13,zabieg chirurgii wewnętrznej,300,1781
1640,2020-05-13,zabieg chirurgiczny drobny,100,1782
1641,2020-05-13,konsultacja chirurgiczna,40,1783
1642,2020-05-13,konsultacja chirurgiczna,40,1784
1643,2020-05-14,kontrolna,40,1785
1644,2020-05-14,kroplówka witaminowa,50,1786
1645,2020-05-14,antykoncepcja,150,1787
1646,2020-05-14,kroplówka witaminowa,50,1788
1647,2020-05-14,USG,100,1789
1648,2020-05-14,szczepienie,30,1790
1649,2020-05-14,szczepienie,30,1791
1650,2020-05-14,zabieg ortopedyczny,200,1792
1651,2020-05-14,kroplówka witaminowa,50,1793
1652,2020-05-14,szczepienie,30,1794
1653,2020-05-14,testy alergiczne,150,1795
1654,2020-05-14,testy alergiczne,150,1796
1655,2020-05-14,kontrolna,40,1798
1656,2020-05-14,EKG,80,1800
1657,2020-05-14,wydanie paszportu,100,1801
1658,2020-05-14,zabieg ortopedyczny,200,1802
1659,2020-05-14,zabieg higieniczny drobny,50,1804
1660,2020-05-14,konsultacja chirurgiczna,40,1805
1661,2020-05-14,zabieg chirurgiczny drobny,100,1806
1662,2020-05-14,zabieg chrurgii zewnętrznej,300,1807
1663,2020-05-14,operacja pod narkozą,450,1808
1664,2020-05-14,konsultacja chirurgiczna,40,1809
1665,2020-05-14,operacja w znieczuleniu częściowym,400,1810
1666,2020-05-14,zabieg okulistyczny,200,1811
1667,2020-05-15,kroplówka witaminowa,50,1812
1668,2020-05-15,testy alergiczne,150,1813
1669,2020-05-15,zabieg ortopedyczny,200,1814
1670,2020-05-15,RTG,80,1815
1671,2020-05-16,eutanazja,200,1816
1672,2020-05-16,wydanie paszportu,100,1817
1673,2020-05-17,RTG,80,1818
1674,2020-05-17,testy alergiczne,150,1819
1675,2020-05-17,antykoncepcja,150,1820
1676,2020-05-18,badanie krwi,60,1821
1677,2020-05-18,badanie krwi,60,1822
1678,2020-05-18,RTG,80,1823
1679,2020-05-18,testy alergiczne,150,1825
1680,2020-05-18,wydanie paszportu,100,1826
1681,2020-05-18,operacja pod narkozą,450,1828
1682,2020-05-18,zabieg chrurgii zewnętrznej,300,1829
1683,2020-05-18,zabieg okulistyczny,200,1830
1684,2020-05-18,zabieg chrurgii zewnętrznej,300,1831
1685,2020-05-18,zabieg chirurgiczny drobny,100,1832
1686,2020-05-19,testy alergiczne,150,1834
1687,2020-05-19,RTG,80,1835
1688,2020-05-19,EKG,80,1836
1689,2020-05-19,testy alergiczne,150,1837
1690,2020-05-19,RTG,80,1838
1691,2020-05-19,wydanie paszportu,100,1839
1692,2020-05-19,wydanie paszportu,100,1840
1693,2020-05-19,antykoncepcja,150,1841
1694,2020-05-19,szczepienie,30,1842
1695,2020-05-19,kontrolna,40,1843
1696,2020-05-19,wydanie paszportu,100,1844
1697,2020-05-19,Kompleksowy zestaw badań,250,1845
1698,2020-05-19,wydanie paszportu,100,1846
1699,2020-05-19,konsultacja chirurgiczna,40,1847
1700,2020-05-19,konsultacja chirurgiczna,40,1848
1701,2020-05-19,konsultacja chirurgiczna,40,1849
1702,2020-05-19,konsultacja chirurgiczna,40,1850
1703,2020-05-19,zabieg chirurgiczny drobny,100,1851
1704,2020-05-19,konsultacja chirurgiczna,40,1852
1705,2020-05-19,konsultacja chirurgiczna,40,1853
1706,2020-05-19,konsultacja chirurgiczna,40,1854
1707,2020-05-19,zabieg chirurgii wewnętrznej,300,1855
1708,2020-05-20,Kompleksowy zestaw badań,250,1856
1709,2020-05-20,testy alergiczne,150,1857
1710,2020-05-20,antykoncepcja,150,1858
1711,2020-05-20,wydanie paszportu,100,1859
1712,2020-05-20,USG,100,1860
1713,2020-05-20,antykoncepcja,150,1862
1714,2020-05-20,RTG,80,1863
1715,2020-05-20,chipowanie,60,1864
1716,2020-05-20,szczepienie,30,1865
1717,2020-05-20,USG,100,1866
1718,2020-05-20,EKG,80,1869
1719,2020-05-20,konsultacja chirurgiczna,40,1870
1720,2020-05-20,zabieg chirurgii wewnętrznej,300,1871
1721,2020-05-20,zabieg chirurgiczny drobny,100,1872
1722,2020-05-20,operacja pod narkozą,450,1873
1723,2020-05-21,zabieg ortopedyczny,200,1876
1724,2020-05-21,szczepienie,30,1877
1725,2020-05-21,testy alergiczne,150,1878
1726,2020-05-21,USG,100,1879
1727,2020-05-21,wydanie paszportu,100,1880
1728,2020-05-21,wydanie paszportu,100,1881
1729,2020-05-21,badanie krwi,60,1882
1730,2020-05-21,zabieg higieniczny drobny,50,1883
1731,2020-05-21,USG,100,1884
1732,2020-05-21,wydanie paszportu,100,1886
1733,2020-05-21,szczepienie,30,1887
1734,2020-05-21,zabieg higieniczny drobny,50,1888
1735,2020-05-21,USG,100,1890
1736,2020-05-21,badanie krwi,60,1892
1737,2020-05-21,badanie krwi,60,1893
1738,2020-05-21,kroplówka witaminowa,50,1894
1739,2020-05-21,kontrolna,40,1895
1740,2020-05-21,wydanie paszportu,100,1896
1741,2020-05-21,operacja w znieczuleniu częściowym,400,1897
1742,2020-05-21,zabieg chirurgiczny drobny,100,1900
1743,2020-05-21,konsultacja chirurgiczna,40,1901
1744,2020-05-21,konsultacja chirurgiczna,40,1902
1745,2020-05-21,operacja w znieczuleniu częściowym,400,1904
1746,2020-05-22,RTG,80,1905
1747,2020-05-22,zabieg ortopedyczny,200,1908
1748,2020-05-22,USG,100,1909
1749,2020-05-22,USG,100,1910
1750,2020-05-22,badanie krwi,60,1911
1751,2020-05-22,testy alergiczne,150,1912
1752,2020-05-22,wydanie paszportu,100,1913
1753,2020-05-22,chipowanie,60,1914
1754,2020-05-23,testy alergiczne,150,1915
1755,2020-05-23,badanie krwi,60,1916
1756,2020-05-23,kontrolna,40,1917
1757,2020-05-23,testy alergiczne,150,1918
1758,2020-05-23,zabieg higieniczy duży,80,1919
1759,2020-05-24,RTG,80,1920
1760,2020-05-24,zabieg higieniczny drobny,50,1921
1761,2020-05-24,USG,100,1922
1762,2020-05-25,testy alergiczne,150,1923
1763,2020-05-25,chipowanie,60,1924
1764,2020-05-25,USG,100,1925
1765,2020-05-25,testy alergiczne,150,1926
1766,2020-05-25,zabieg higieniczny drobny,50,1927
1767,2020-05-25,zabieg higieniczy duży,80,1928
1768,2020-05-25,testy alergiczne,150,1930
1769,2020-05-25,Kompleksowy zestaw badań,250,1931
1770,2020-05-25,zabieg chirurgiczny drobny,100,1932
1771,2020-05-25,konsultacja chirurgiczna,40,1933
1772,2020-05-25,zabieg chirurgiczny drobny,100,1934
1773,2020-05-25,konsultacja chirurgiczna,40,1935
1774,2020-05-25,zabieg chirurgiczny drobny,100,1936
1775,2020-05-25,zabieg chirurgiczny drobny,100,1937
1776,2020-05-25,konsultacja chirurgiczna,40,1938
1777,2020-05-25,konsultacja chirurgiczna,40,1939
1778,2020-05-25,konsultacja chirurgiczna,40,1940
1779,2020-05-25,konsultacja chirurgiczna,40,1941
1780,2020-05-25,konsultacja chirurgiczna,40,1942
1781,2020-05-25,operacja pod narkozą,450,1943
1782,2020-05-25,konsultacja chirurgiczna,40,1944
1783,2020-05-25,zabieg chirurgiczny drobny,100,1945
1784,2020-05-26,zabieg higieniczny drobny,50,1946
1785,2020-05-26,kroplówka witaminowa,50,1947
1786,2020-05-26,antykoncepcja,150,1949
1787,2020-05-26,RTG,80,1951
1788,2020-05-26,zabieg higieniczy duży,80,1952
1789,2020-05-26,RTG,80,1953
1790,2020-05-26,kontrolna,40,1954
1791,2020-05-26,eutanazja,200,1955
1792,2020-05-26,RTG,80,1956
1793,2020-05-26,chipowanie,60,1958
1794,2020-05-26,kroplówka witaminowa,50,1959
1795,2020-05-26,wydanie paszportu,100,1960
1796,2020-05-26,szczepienie,30,1961
1797,2020-05-26,badanie krwi,60,1962
1798,2020-05-26,Kompleksowy zestaw badań,250,1963
1799,2020-05-26,operacja pod narkozą,450,1964
1800,2020-05-26,konsultacja chirurgiczna,40,1965
1801,2020-05-26,zabieg chrurgii zewnętrznej,300,1966
1802,2020-05-26,konsultacja chirurgiczna,40,1967
1803,2020-05-27,kroplówka witaminowa,50,1969
1804,2020-05-27,zabieg higieniczny drobny,50,1970
1805,2020-05-27,zabieg higieniczny drobny,50,1971
1806,2020-05-27,EKG,80,1972
1807,2020-05-27,zabieg ortopedyczny,200,1973
1808,2020-05-27,antykoncepcja,150,1974
1809,2020-05-27,kontrolna,40,1975
1810,2020-05-27,Kompleksowy zestaw badań,250,1977
1811,2020-05-27,kontrolna,40,1978
1812,2020-05-27,zabieg higieniczy duży,80,1979
1813,2020-05-27,zabieg chirurgiczny drobny,100,1980
1814,2020-05-27,zabieg chirurgiczny drobny,100,1982
1815,2020-05-27,operacja w znieczuleniu częściowym,400,1983
1816,2020-05-27,operacja pod narkozą,450,1984
1817,2020-05-28,kontrolna,40,1986
1818,2020-05-28,zabieg ortopedyczny,200,1987
1819,2020-05-28,testy alergiczne,150,1988
1820,2020-05-28,zabieg higieniczy duży,80,1989
1821,2020-05-28,chipowanie,60,1990
1822,2020-05-28,antykoncepcja,150,1991
1823,2020-05-28,eutanazja,200,1992
1824,2020-05-28,eutanazja,200,1993
1825,2020-05-28,antykoncepcja,150,1994
1826,2020-05-28,wydanie paszportu,100,1995
1827,2020-05-28,eutanazja,200,1996
1828,2020-05-28,konsultacja chirurgiczna,40,1997
1829,2020-05-28,zabieg okulistyczny,200,1998
1830,2020-05-28,zabieg chirurgii wewnętrznej,300,2000
1831,2020-05-28,zabieg chirurgiczny drobny,100,2001
1832,2020-05-28,zabieg chrurgii zewnętrznej,300,2002
1833,2020-05-28,konsultacja chirurgiczna,40,2003
1834,2020-05-28,konsultacja chirurgiczna,40,2004
1835,2020-05-29,RTG,80,2005
1836,2020-05-29,badanie krwi,60,2006
1837,2020-05-29,EKG,80,2007
1838,2020-05-29,EKG,80,2008
1839,2020-05-29,chipowanie,60,2009
1840,2020-05-29,zabieg ortopedyczny,200,2010
1841,2020-05-29,kontrolna,40,2011
1842,2020-05-29,kontrolna,40,2012
1843,2020-05-29,RTG,80,2013
1844,2020-05-29,zabieg ortopedyczny,200,2014
1845,2020-05-30,kroplówka witaminowa,50,2015
1846,2020-05-30,EKG,80,2016
1847,2020-05-30,eutanazja,200,2017
1848,2020-05-31,wydanie paszportu,100,2018
1849,2020-05-31,Kompleksowy zestaw badań,250,2019
1850,2020-06-01,eutanazja,200,2021
1851,2020-06-01,zabieg ortopedyczny,200,2022
1852,2020-06-01,antykoncepcja,150,2023
1853,2020-06-01,wydanie paszportu,100,2024
1854,2020-06-01,eutanazja,200,2025
1855,2020-06-01,konsultacja chirurgiczna,40,2026
1856,2020-06-01,konsultacja chirurgiczna,40,2027
1857,2020-06-01,konsultacja chirurgiczna,40,2028
1858,2020-06-01,konsultacja chirurgiczna,40,2029
1859,2020-06-01,zabieg chirurgiczny drobny,100,2031
1860,2020-06-01,zabieg chirurgiczny drobny,100,2032
1861,2020-06-01,konsultacja chirurgiczna,40,2033
1862,2020-06-01,konsultacja chirurgiczna,40,2034
1863,2020-06-01,konsultacja chirurgiczna,40,2035
1864,2020-06-01,zabieg chirurgii wewnętrznej,300,2036
1865,2020-06-01,czynsz,-4500,
1866,2020-06-01,firma sprzątająca,-2800,
1867,2020-06-01,opłaty,-900,
1868,2020-06-01,biuro rachunkowe,-500,
1869,2020-06-01,opłaty bankowe,-140,
1870,2020-06-01,pensje dla pracowników,-20460,
1871,2020-06-02,zabieg ortopedyczny,200,2037
1872,2020-06-02,eutanazja,200,2038
1873,2020-06-02,zabieg higieniczny drobny,50,2039
1874,2020-06-02,testy alergiczne,150,2041
1875,2020-06-02,zabieg ortopedyczny,200,2042
1876,2020-06-02,eutanazja,200,2043
1877,2020-06-02,konsultacja chirurgiczna,40,2044
1878,2020-06-02,zabieg chirurgiczny drobny,100,2045
1879,2020-06-02,zabieg chirurgiczny drobny,100,2046
1880,2020-06-02,konsultacja chirurgiczna,40,2047
1881,2020-06-02,konsultacja chirurgiczna,40,2048
1882,2020-06-02,konsultacja chirurgiczna,40,2049
1883,2020-06-02,zabieg okulistyczny,200,2050
1884,2020-06-03,Kompleksowy zestaw badań,250,2052
1885,2020-06-03,chipowanie,60,2053
1886,2020-06-03,wydanie paszportu,100,2054
1887,2020-06-03,zabieg higieniczy duży,80,2055
1888,2020-06-03,badanie krwi,60,2056
1889,2020-06-03,kroplówka witaminowa,50,2057
1890,2020-06-03,chipowanie,60,2058
1891,2020-06-03,wydanie paszportu,100,2059
1892,2020-06-03,testy alergiczne,150,2060
1893,2020-06-03,eutanazja,200,2061
1894,2020-06-03,badanie krwi,60,2062
1895,2020-06-03,Kompleksowy zestaw badań,250,2063
1896,2020-06-03,testy alergiczne,150,2065
1897,2020-06-03,wydanie paszportu,100,2066
1898,2020-06-03,Kompleksowy zestaw badań,250,2067
1899,2020-06-03,konsultacja chirurgiczna,40,2068
1900,2020-06-03,zabieg chirurgiczny drobny,100,2069
1901,2020-06-03,konsultacja chirurgiczna,40,2070
1902,2020-06-03,zabieg chirurgii wewnętrznej,300,2071
1903,2020-06-03,zabieg chirurgiczny drobny,100,2072
1904,2020-06-03,zabieg chirurgiczny drobny,100,2073
1905,2020-06-04,eutanazja,200,2075
1906,2020-06-04,zabieg ortopedyczny,200,2076
1907,2020-06-04,badanie krwi,60,2077
1908,2020-06-04,USG,100,2078
1909,2020-06-04,kontrolna,40,2079
1910,2020-06-04,szczepienie,30,2080
1911,2020-06-04,Kompleksowy zestaw badań,250,2082
1912,2020-06-04,RTG,80,2083
1913,2020-06-04,zabieg higieniczny drobny,50,2084
1914,2020-06-04,testy alergiczne,150,2085
1915,2020-06-04,zabieg higieniczy duży,80,2086
1916,2020-06-04,EKG,80,2087
1917,2020-06-04,zabieg higieniczny drobny,50,2088
1918,2020-06-04,zabieg higieniczny drobny,50,2090
1919,2020-06-04,testy alergiczne,150,2091
1920,2020-06-04,zabieg higieniczy duży,80,2092
1921,2020-06-04,kontrolna,40,2093
1922,2020-06-04,konsultacja chirurgiczna,40,2094
1923,2020-06-04,konsultacja chirurgiczna,40,2095
1924,2020-06-04,operacja w znieczuleniu częściowym,400,2096
1925,2020-06-04,konsultacja chirurgiczna,40,2098
1926,2020-06-04,zabieg chirurgiczny drobny,100,2099
1927,2020-06-05,wydanie paszportu,100,2100
1928,2020-06-05,Kompleksowy zestaw badań,250,2101
1929,2020-06-05,EKG,80,2102
1930,2020-06-05,zabieg higieniczy duży,80,2103
1931,2020-06-06,USG,100,2104
1932,2020-06-06,zabieg higieniczy duży,80,2105
1933,2020-06-06,RTG,80,2107
1934,2020-06-07,badanie krwi,60,2108
1935,2020-06-07,wydanie paszportu,100,2109
1936,2020-06-08,EKG,80,2110
1937,2020-06-08,RTG,80,2111
1938,2020-06-08,USG,100,2112
1939,2020-06-08,chipowanie,60,2114
1940,2020-06-08,testy alergiczne,150,2115
1941,2020-06-08,kroplówka witaminowa,50,2116
1942,2020-06-08,zabieg chirurgii wewnętrznej,300,2117
1943,2020-06-08,konsultacja chirurgiczna,40,2118
1944,2020-06-08,zabieg okulistyczny,200,2119
1945,2020-06-08,zabieg okulistyczny,200,2120
1946,2020-06-08,konsultacja chirurgiczna,40,2121
1947,2020-06-08,zabieg chirurgii wewnętrznej,300,2122
1948,2020-06-09,zabieg ortopedyczny,200,2123
1949,2020-06-09,kontrolna,40,2124
1950,2020-06-09,zabieg higieniczy duży,80,2125
1951,2020-06-09,zabieg ortopedyczny,200,2126
1952,2020-06-09,testy alergiczne,150,2127
1953,2020-06-09,kontrolna,40,2128
1954,2020-06-09,eutanazja,200,2129
1955,2020-06-09,chipowanie,60,2130
1956,2020-06-09,konsultacja chirurgiczna,40,2131
1957,2020-06-09,konsultacja chirurgiczna,40,2132
1958,2020-06-09,zabieg chirurgii wewnętrznej,300,2133
1959,2020-06-09,zabieg chirurgiczny drobny,100,2134
1960,2020-06-09,zabieg chirurgiczny drobny,100,2135
1961,2020-06-09,zabieg chirurgiczny drobny,100,2136
1962,2020-06-09,zabieg chirurgiczny drobny,100,2137
1963,2020-06-10,badanie krwi,60,2138
1964,2020-06-10,szczepienie,30,2139
1965,2020-06-10,RTG,80,2140
1966,2020-06-10,EKG,80,2141
1967,2020-06-10,EKG,80,2142
1968,2020-06-10,chipowanie,60,2143
1969,2020-06-10,kontrolna,40,2144
1970,2020-06-10,zabieg higieniczny drobny,50,2147
1971,2020-06-10,chipowanie,60,2148
1972,2020-06-10,USG,100,2149
1973,2020-06-10,antykoncepcja,150,2150
1974,2020-06-10,testy alergiczne,150,2153
1975,2020-06-10,Kompleksowy zestaw badań,250,2154
1976,2020-06-10,kroplówka witaminowa,50,2155
1977,2020-06-10,zabieg higieniczy duży,80,2157
1978,2020-06-10,kontrolna,40,2158
1979,2020-06-10,zabieg ortopedyczny,200,2159
1980,2020-06-10,zabieg chirurgiczny drobny,100,2160
1981,2020-06-10,zabieg chirurgiczny drobny,100,2161
1982,2020-06-10,zabieg okulistyczny,200,2162
1983,2020-06-10,zabieg chirurgiczny drobny,100,2163
1984,2020-06-10,zabieg chirurgiczny drobny,100,2164
1985,2020-06-10,zabieg chirurgiczny drobny,100,2165
1986,2020-06-10,zabieg chirurgiczny drobny,100,2166
1987,2020-06-11,USG,100,2167
1988,2020-06-11,zabieg higieniczny drobny,50,2168
1989,2020-06-11,testy alergiczne,150,2170
1990,2020-06-11,zabieg higieniczny drobny,50,2171
1991,2020-06-11,szczepienie,30,2172
1992,2020-06-11,wydanie paszportu,100,2173
1993,2020-06-11,zabieg higieniczny drobny,50,2174
1994,2020-06-11,USG,100,2175
1995,2020-06-11,eutanazja,200,2176
1996,2020-06-11,kroplówka witaminowa,50,2177
1997,2020-06-11,zabieg higieniczy duży,80,2178
1998,2020-06-11,USG,100,2179
1999,2020-06-11,badanie krwi,60,2180
2000,2020-06-11,chipowanie,60,2181
2001,2020-06-11,chipowanie,60,2182
2002,2020-06-11,zabieg higieniczny drobny,50,2183
2003,2020-06-11,testy alergiczne,150,2184
2004,2020-06-11,zabieg higieniczny drobny,50,2185
2005,2020-06-11,USG,100,2186
2006,2020-06-11,konsultacja chirurgiczna,40,2187
2007,2020-06-11,konsultacja chirurgiczna,40,2188
2008,2020-06-11,zabieg chirurgiczny drobny,100,2189
2009,2020-06-11,operacja pod narkozą,450,2190
2010,2020-06-11,zabieg okulistyczny,200,2192
2011,2020-06-11,konsultacja chirurgiczna,40,2193
2012,2020-06-11,konsultacja chirurgiczna,40,2194
2013,2020-06-11,zabieg chrurgii zewnętrznej,300,2195
2014,2020-06-12,chipowanie,60,2197
2015,2020-06-12,zabieg higieniczny drobny,50,2198
2016,2020-06-12,badanie krwi,60,2199
2017,2020-06-12,EKG,80,2200
2018,2020-06-12,zabieg ortopedyczny,200,2201
2019,2020-06-12,zabieg ortopedyczny,200,2202
2020,2020-06-12,USG,100,2203
2021,2020-06-12,antykoncepcja,150,2204
2022,2020-06-12,badanie krwi,60,2205
2023,2020-06-13,eutanazja,200,2206
2024,2020-06-13,chipowanie,60,2207
2025,2020-06-13,testy alergiczne,150,2208
2026,2020-06-14,wydanie paszportu,100,2209
2027,2020-06-14,EKG,80,2210
2028,2020-06-14,kontrolna,40,2211
2029,2020-06-14,eutanazja,200,2212
2030,2020-06-14,Kompleksowy zestaw badań,250,2214
2031,2020-06-15,testy alergiczne,150,2215
2032,2020-06-15,kontrolna,40,2217
2033,2020-06-15,Kompleksowy zestaw badań,250,2218
2034,2020-06-15,badanie krwi,60,2219
2035,2020-06-15,RTG,80,2220
2036,2020-06-15,szczepienie,30,2221
2037,2020-06-15,zabieg chirurgiczny drobny,100,2222
2038,2020-06-15,zabieg chirurgiczny drobny,100,2223
2039,2020-06-15,zabieg okulistyczny,200,2224
2040,2020-06-16,eutanazja,200,2225
2041,2020-06-16,EKG,80,2226
